Participant ID,Relative Autonomy Index (RAI),pretest,posttest,delta_score
1,0.031746032,1,2,1
2,-1.80952381,5,8,3
3,1.380952381,6,-,-
4,-0.031746032,7,6,-1
5,-4.031746032,6,7,1
6,-0.984126984,2,6,4
7,-0.650793651,0,2,2
8,-1.968253968,3,4,1
9,3.079365079,4,4,0
10,3.079365079,4,7,3
11,2.222222222,1,6,5
12,-3.53968254,0,1,1
13,0.412698413,6,6,0
14,0.619047619,5,7,2
15,0.095238095,6,8,2
16,0.634920635,6,6,0
17,-1.428571429,0,1,1
18,1.920634921,2,4,2
19,1.428571429,1,-,-
20,0.698412698,0,-,-
21,0.761904762,5,3,-2
22,0.698412698,0,0,0
23,-1.111111111,0,2,2
24,-0.396825397,4,3,-1
25,-1.349206349,3,5,2
26,-0.031746032,3,6,3
27,0.444444444,6,7,1
28,-2.396825397,4,8,4
29,-1.126984127,2,2,0
30,0.968253968,7,6,-1
31,-1.142857143,1,2,1
32,-4.285714286,3,4,1
33,2.142857143,0,5,5